OpenAlex ID,ORCID,Name,Alt Names,Publications,Citations,h-index,Number of Institutions
A5022054291,https://orcid.org/0000-0001-6857-6231,Surita Parashar,"['Parashar, Surita', 'S Parashar', 'S. Parashar', 'Surita Parashar']",55,967,17,6
A5052354413,https://orcid.org/0000-0001-9720-332X,Adam Hawkes,"['A D Hawkes', 'A HAWKES', 'A Hawkes', 'A. D. Hawkes', 'A. Hawkes', 'A.D. Hawkes', 'Adam D. Hawkes', 'Adam Hawkes', 'F David', 'Hawkes, Adam', 'Hawkes, Adam D.']",295,15881,56,17
A5093635274,https://orcid.org/0000-0003-2831-766X,Jason Pulfer,"['Jason M. Pulfer', 'Jason Pulfer', 'Pulfer, Jason', 'Pulfer, Jason M.']",12,38,4,4
A5100348024,https://orcid.org/0000-0001-7065-8041,Jonathan Lee,"['J. W. J. Lee', 'JONATHAN LEE', 'Jonathan D. Lee', 'Jonathan Lee', 'Jonathan W J Lee', 'Jonathan W. J. Lee', 'Jonathan W. lee', 'Jonathan W.J. Lee', 'Jonathan Wei Jie Lee', 'Jonathan Wei-Jie Lee', 'Lee, J,; Toohey, S,', 'Lee, Jonathan', 'Lee, Jonathan W. J.', 'Lee, Jonathan Wei Jie', 'Wei J J Lee', 'Wei Jie Jonathan Lee']",175,4147,32,68
A5093227468,https://orcid.org/0009-0006-8786-0020,Matt Canute,"['Canute, Matt', 'Matt Canute', 'Matthew Canute']",4,5,1,1
A5094130030,https://orcid.org/0009-0005-8674-8152,Hoda Taeb,['Hoda Taeb'],3,1,1,1
A5018834126,https://orcid.org/0000-0002-7638-7446,Siniša Kolarić,"['S. Kolarić', 'SINISA KOLARIC', 'Sinisa Kolaric', 'Siniša Kolarić']",12,44,5,2
A5071323481,,Caio Vinicios Juvencio da Silva,"['Caio Vinicios Juvencio Silva', 'Caio Vinicios Juvencio da Silva']",6,1,1,2
A5102789450,https://orcid.org/0000-0003-4524-0350,Yanping Zhu,"['Y. Zhu', 'Yan-Ping Zhu', 'Yan-ping Zhu', 'Yanping Zhu']",65,1708,22,27
A5030564726,,Cameron Scott,['Cameron Scott'],9,304,7,2
A5093213106,https://orcid.org/0009-0001-9069-0943,Matthew Pin,['Matthew Pin'],4,102,3,2
A5035861091,https://orcid.org/0000-0003-4454-8441,Paul A. Milewski,"['Milewski, P. A.', 'Milewski, Paul', 'Milewski, Paul A', 'Milewski, Paul A.', 'Milewski, Paul A. 1966-', 'P. A. Milewski', 'P. MILEWSKI', 'P. Milewski', 'P.A. Milewski', 'P.\xa0A. Milewski', 'PAUL A. MILEWSKI', 'Paul A. Milewski', 'Paul Milewski', 'Paul\xa0A. Milewski']",122,2204,29,12
A5074919292,https://orcid.org/0000-0003-1203-741X,Pedram Ghamisi,"['Ghamisi, Pedram', 'P. Ghamisi', 'Pedram Ghamisi']",427,25250,76,36
A5019189705,https://orcid.org/0000-0003-2432-5451,Christopher McMaster,"['C. McMaster', 'C. Mcmaster', 'Chris McMaster', 'Christopher McMaster', 'Christopher Mcmaster', 'Christopher R McMaster', 'Christopher R. McMaster']",45,495,10,16
A5018611570,,Faezeh Borzooee,"['Borzooee, Faezeh', 'Faezeh Borzooee']",21,137,7,4
A5077387751,https://orcid.org/0000-0001-5778-1686,Brett C. Hannigan,"['Brett C. Hannigan', 'Brett Hannigan', 'Hannigan, Brett Christopher']",16,425,8,5
A5008341072,https://orcid.org/0000-0002-8349-2682,Chenrui Wu,"['Chenrui Wu', 'Wu, Chenrui']",10,124,6,4
A5050245748,https://orcid.org/0000-0002-9587-8419,Jiabin Shen,['Jiabin Shen'],17,241,8,3
A5079854040,,Zoey B.D. Schutz,['Zoey B.D. Schutz'],2,1,1,1
A5066880338,https://orcid.org/0000-0002-2612-2132,Lisa Matthias,"['Lisa Matthias', 'Matthias, Lisa', 'Maud Devs']",74,2581,18,10
A5046401584,https://orcid.org/0000-0001-5702-372X,Jesse T Young,"['J T Young', 'J Young', 'J. T. Young', 'J. Young', 'J.T. Young', 'Jesse  T. Young', 'Jesse T Young', 'Jesse T. Young', 'Jesse T. Young,', 'Jesse Tyler Young', 'Jesse Young', 'Lars Møller', 'Young, J.T.']",153,2866,27,37
A5093635293,,Lauryn Grcic,['Lauryn Grcic'],2,11,1,1
A5025766873,https://orcid.org/0000-0003-1783-4127,Ailene MacPherson,"['A. MacPherson', 'A. S. Macpherson', 'Ailene MacPherson', 'MacPherson, Ailene']",49,532,13,5
A5068016369,https://orcid.org/0000-0002-8515-5858,Erin L. MacMillan,"['E L MacMillan', 'E. L. MacMillan', 'E. Macmillan', 'Erin L MacMillan', 'Erin L. MacMillan', 'Erin Leigh MacMillan', 'Erin MacMillan', 'Erin\xa0L. MacMillan', 'MacMillan, Erin Leigh']",57,814,17,17
A5052917385,,Joshua C. Gordon,"['Joshua C Gordon', 'Joshua C. Gordon', 'Joshua Gordon']",13,195,8,3
A5002996404,https://orcid.org/0000-0002-8015-3861,Jessica Xavier,"['Jessica C Xavier', 'Jessica C. Xavier', 'Jessica Xavier']",25,291,10,6
A5025362921,https://orcid.org/0000-0003-4059-4416,David A. Evans,"['D A Evans', 'D Evans', 'D. A. EVANS', 'D. A. Evans', 'D. EVANS', 'D. Evans', 'D.A. Evans', 'D.\u2009A. Evans', 'DAVID A. EVANS', 'David A Evans', 'David A. Evans', 'David Andreoff Evans', 'David Evans', 'Evans D', 'Evans David', 'Evans, David A.', 'Evans, David A.(David Andreoff)']",260,19756,44,50
A5016481918,https://orcid.org/0000-0002-9629-3965,Katherine E. Powers,"['K. Powers', 'K.E. Powers', 'Katherine E. Powers', 'Katherine Powers', 'Powers, Katherine', 'Powers, Katherine Elizabeth']",33,561,11,9
A5101525448,https://orcid.org/0000-0002-4128-4172,Xiaofeng Lu,"['Lu Xiaofeng', 'X. J. Lu', 'X. Lu', 'Xiao-Feng Lu', 'Xiao-feng LU', 'Xiao-feng Lu', 'Xiaofeng LU', 'Xiaofeng Lu']",79,721,17,17
A5031083361,https://orcid.org/0000-0002-9959-6005,Sieun Lee,"['Lee, Sieun', 'Si-Eun Lee', 'Sieun Lee', 'Sieun Lee (9083618)']",161,1851,24,28
A5085224403,,Steven Nuss,"['Nuss, Steven', 'Steven Nuss']",4,21,2,1
A5092111954,,Aidan Kits,"['Aidan Kits', 'Kits, Aidan']",5,7,1,1
A5086549204,https://orcid.org/0000-0002-5578-1102,Rania S. Khelifi,"['Rania Khelifi', 'Rania S. Khelifi']",4,16,2,4
A5002474306,https://orcid.org/0000-0003-1024-9101,Akhil Raj Baranwal,"['Akhil Raj Baranwal', 'Baranwal, Akhil Raj']",9,26,4,4
A5092864314,,Hana Georgoulis,['Hana Georgoulis'],4,8,2,1
A5015687690,https://orcid.org/0000-0003-4185-2528,Mohamad Sadri,['Mohamad Sadri'],4,28,3,3
A5042339933,https://orcid.org/0000-0002-5901-949X,Majid Shokoufi,"['M. Shokoufi', 'Majid Shokoufi']",18,217,9,1
A5087989350,https://orcid.org/0000-0002-2639-3987,Alexander M. Cancelli,"['Alexander  M. Cancelli', 'Alexander Cancelli', 'Alexander M Cancelli', 'Alexander M. Cancelli']",14,90,3,2
A5103258835,https://orcid.org/0000-0001-9622-1964,Cindy Yu,['Cindy Yu'],5,21,2,2
A5102887349,https://orcid.org/0000-0002-6219-0693,Eugene McCann,"['Andrew E G Jonas', 'E McCann', 'E.J. McCann', 'EUGENE J. MCCANN', 'EUGENE J. McCANN', 'EUGENE MCCANN', 'Eugene J McCann', 'Eugene J. McCann', 'Eugene McCann', 'Eugene Mccann', 'McCann, Eugene J.']",109,7078,36,10
A5018575289,https://orcid.org/0000-0002-9540-9399,Sian Hsiang‐Te Tsuei,"['Sian Hsiang-Te Tsuei', 'Sian Hsiang‐Te Tsuei', 'Sian Tsuei']",33,367,9,9
A5039284600,https://orcid.org/0009-0002-2147-2122,Bertille Antoine,"['Antoine, Bertille', 'Bertille Antoine']",36,360,9,5
A5095830977,https://orcid.org/0009-0003-5159-6342,Kamilah Charters-Gabanek,"['Charters-Gabanek, Kamilah', 'Kamilah Charters-Gabanek']",3,6,1,1
A5106327864,,Raghava Payment,['Raghava Payment'],2,0,0,1
A5087088567,https://orcid.org/0000-0002-5143-7451,Tom W. Claydon,"['Claydon, Thomas W.', 'T. Claydon', 'T. W. Claydon', 'T.W. Claydon', 'Thomas Claydon', 'Thomas W Claydon', 'Thomas W. Claydon', 'Thomas William Claydon', 'Tom Claydon', 'Tom W Claydon', 'Tom W. Claydon', 'Tom\xa0W. Claydon']",81,1375,22,7
A5084439785,https://orcid.org/0000-0002-0804-6252,Amy Wiebe,"['Amy Wiebe', 'Wiebe, Amy']",28,74,5,6
A5083651358,https://orcid.org/0000-0002-7753-2828,Ahmed M. Bayoumi,"['A Bayoumi', 'A M Bayoumi', 'A. Bayoumi', 'A. M. Bayoumi', 'A.M. Bayoumi', 'Ahmed  M. Bayoumi', 'Ahmed Bayoumi', 'Ahmed M Bayoumi', 'Ahmed M. Bayoumi', 'Ahmed Mohamed Bayoumi', 'Barber-Surgeons Company', 'Bayoumi, Ahmed', 'Bayoumi, Ahmed MD', 'Mitchel Levine']",343,10974,49,95
A5030911288,https://orcid.org/0009-0001-3571-624X,Priscilla Lo,"['Lo, Priscilla', 'Lo, Priscilla Y', 'P Lo', 'Priscilla Lo', 'Priscilla Y. Lo']",19,117,6,8
A5019170329,https://orcid.org/0000-0002-6763-9234,Deniz Anginer,"['Anginer, Deniz', 'Deniz Anginer']",95,3185,22,12
A5026451242,https://orcid.org/0000-0003-2722-0161,Fenqi Wang,"['Fenqi Wang', 'Wang Fenqi', 'Wang, Fenqi']",46,117,5,11
A5048373391,https://orcid.org/0000-0002-1796-4776,Rajveer Singh Brar,"['Rajveer S. Brar', 'Rajveer Singh Brar']",13,111,6,5
A5068449596,https://orcid.org/0000-0001-8969-4659,Dongya Yang,"['D. Y. Yang', 'D. Yang', 'D.-Y. Yang', 'D.Y. Yang', 'DONGYA Y. YANG', 'Dong-Ya Yang', 'DongYa Yang', 'Dongya  Y. Yang', 'Dongya Y Yang', 'Dongya Y. Yang', 'Dongya YANG', 'Dongya Yang', 'Qiong Tian', 'Qiyu Mo', 'Yang, Dongya']",255,6969,44,16
A5100531728,,Feng Cai,"['Cai Feng', 'Cai, Feng', 'Feng Cai']",116,270,8,51
A5010505758,https://orcid.org/0000-0002-3236-4250,Leah Kelley,"['L.T. Kelley', 'Leah Kelley', 'Leah T. Kelley', 'Leah Taylor Kelley']",17,570,9,5
