,name1,name2,id1,id2,similarity_score
176,caroline colijn,caroline colijin,A5091754800,A5092252314,97
177,yu chen,yuxi chen,A5100402071,A5100764265,88
178,yu chen,yubo chen,A5100402071,A5101939525,88
179,yu chen,yue chen,A5100402071,A5054088513,93
180,david e crowley,david k coley,A5065698482,A5023399809,86
181,yingjie chen,ying chen,A5100409186,A5063849486,86
182,h j crawford,h l crawford,A5017561360,A5015359452,92
183,weitian chen,tian chen,A5013602825,A5039200178,86
184,stephen j choi,stephen choi,A5085892614,A5046677225,92
185,christine w chan,christine m chan,A5041653123,A5102445316,94
186,andrew r chapman,andrew chapman,A5071519732,A5101887957,93
187,yasheng chen,nan-sheng chen,A5023707205,A5049486494,85
188,yasheng chen,nansheng chen,A5023707205,A5101610338,88
189,peter christensen,erik christensen,A5104313321,A5038054341,85
190,david chen,david chang,A5100675680,A5037084000,86
191,douglas cheyne,douglas cohen,A5039557394,A5059465741,89
192,lihan chen,liang chen,A5030104017,A5014807339,90
193,andrew t calvert,andrew j calvert,A5090222248,A5030736348,94
194,theodore d cosco,theodore cosco,A5068364602,A5134952042,93
195,allan cunningham,alan cunningham,A5021259958,A5023383407,97
196,andrés m cisneros‐montemayor,andrés m cisneros-montemayor,A5041047135,A5123238429,96
197,andrés m cisneros‐montemayor,andrés  m cisneros-montemayor,A5041047135,A5124135382,95
198,michael carney,michael carver,A5073228306,A5070474140,86
199,yuxi chen,xi chen,A5100764265,A5100329932,88
200,jun chen,j chen,A5019378283,A5107886267,86
201,yuxuan chen,yixuan chen,A5100342244,A5100725680,91
202,brian e conway,brian conway,A5109163734,A5109381574,92
203,jian chai,jia cai,A5027244342,A5110633917,88
204,david c clarke,dave c clarke,A5062270975,A5112840346,89
205,david c clarke,david clarke,A5062270975,A5059649947,92
206,joseph a clark,joseph clare,A5082373398,A5040697946,85
207,ruiwen chen,xiwen chen,A5082582375,A5100657341,86
208,a chester,a n chester,A5072118739,A5111930657,90
209,a chester,anne chester,A5072118739,A5066105849,86
210,wuyang chen,wang chen,A5013562664,A5100340757,90
211,thomas chapman,tom chapman,A5075725085,A5061531518,88
212,jingyun chen,jing chen,A5016433401,A5046422844,86
213,susan crawford,susan m crawford,A5109575871,A5049833360,93
214,liang chen,xiang cheng,A5014807339,A5030167129,86
215,liang chen,ling chen,A5014807339,A5100411084,95
216,shaohua chen,shaohuang chen,A5100335688,A5075269359,92
217,allison a campbell,allison campbell,A5074690063,A5103199277,94
218,allison a campbell,allison j campbell,A5074690063,A5083399757,94
219,zhuang chen,zihua chen,A5101447904,A5058110931,86
220,michael o’neal campbell,michael o’neil campbell,A5036309802,A5079713005,96
221,michael chang,michael chen,A5101827388,A5100705941,88
222,michael chang,michelle chan,A5101827388,A5113170352,85
223,jiayue chen,jiayi chen,A5067159163,A5108137477,86
224,jiaqi chen,jiayi chen,A5100434210,A5108137477,90
225,jeffrey b cheng,jeffrey c f cheung,A5043939880,A5060707155,85
226,tom clark,thomas clark,A5062159739,A5101823642,86
227,wang chen,gang chen,A5100340757,A5100389302,89
228,a campbell,lara campbell,A5042030650,A5102801207,87
229,a campbell,cary campbell,A5042030650,A5039106314,87
230,teresa cheung,teresa p cheung,A5077739432,A5079537793,93
231,george w chang,george h cheng,A5103528259,A5064055251,86
232,david chang,dave chang,A5037084000,A5011390842,86
233,anita t coté,anita coté,A5072214202,A5066224186,91
234,chao chen,hao chen,A5100408353,A5100353673,94
235,cong chen,long chen,A5100427128,A5100336427,89
236,imin chen,qimin chen,A5024124555,A5076517151,95
237,christiana l cheng,christina cheung,A5075079856,A5037997565,88
238,alan cunningham,dylan s cunningham,A5023383407,A5080741864,85
239,christina cheung,christina chiu,A5037997565,A5000089897,87
240,christina cheung,christine chuong,A5037997565,A5083724661,88
241,siqi chen,si chen,A5100460986,A5100366165,88
242,lara campbell,cary campbell,A5102801207,A5039106314,85
243,leo chen,lei chen,A5112905098,A5100333516,88
244,michael chambers,michael g chambers,A5102781332,A5113600431,94
245,nicole catherine,nicole la catherine,A5072737913,A5133212535,91
246,j j clague,j a clague,A5000296592,A5031901245,90
247,tom calvert,thomas calvert,A5110505169,A5077925873,88
248,john chan,john f chant,A5112284649,A5010169014,86
249,john corlett,jon corbett,A5010768972,A5047019938,87
250,elise chenier,el chenier,A5075084733,A5116881146,87
251,xiang cheng,xin cheng,A5030167129,A5101587732,90
252,xiang cheng,xing cheng,A5030167129,A5101846669,95
253,stephen choi,stephen collis,A5046677225,A5015481958,85
254,stephanie chin,stephanie chang,A5112768554,A5101559111,90
255,stephanie chin,stephanie chu,A5112768554,A5108662676,89
256,michelle cua,michelle chan,A5032139111,A5113170352,88
257,joanna chen,joanna che,A5021005948,A5000749234,95
258,andrew cheng,andrew j chang,A5069723543,A5112074881,85
259,daniel cohn,daniel chang,A5046643391,A5044668950,87
260,jiyi chen,jiayi chen,A5014688370,A5108137477,95
261,stephanie w chang,stephanie chang,A5107869730,A5101559111,94
262,yi-ting chen,yiting chen,A5100348255,A5125353864,96
263,yi-ting chen,ying chen,A5100348255,A5063849486,86
264,a n chester,anne chester,A5111930657,A5066105849,87
265,aleena chia,leena chau,A5026668088,A5125081361,86
266,anqi chen,anqi a chen,A5100625001,A5035150383,90
267,stephanie chang,stephanie chu,A5101559111,A5108662676,86
268,x k chen,xk chen,A5057638476,A5034896114,93
269,ivy chow,ivy choi,A5028051779,A5039326233,88
270,leena w chau,leena chau,A5064634241,A5125081361,91
271,allison campbell,allison j campbell,A5103199277,A5083399757,94
272,zixuan chen,zihua chen,A5102906085,A5058110931,86
273,zixuan chen,yixuan chen,A5102906085,A5100725680,91
274,guillermo caballero‐garcía,guillermo caballero-garcía,A5059549026,A5130065846,96
275,rachel chimuka,v rachel chimuka,A5074381164,A5055696136,93
276,emily a cameron,emily e cameron,A5090630451,A5066336976,93
277,michael c chen,michael chen,A5101903942,A5100705941,92
278,maude comtois‐cabana,maude comtois cabana,A5071955961,A5007654876,95
279,jason connelly,jason p connelly,A5004724427,A5133309891,93
280,danielle chin,daniel chiang,A5020649609,A5006979877,85
281,angel xuan chang,angel x chang,A5103619575,A5135220366,90
282,xk chen,xi chen,A5034896114,A5100329932,86
283,a carr,a carter,A5081082111,A5004107679,86
284,xin cheng,xi chen,A5101587732,A5100329932,88
285,xin cheng,xing cheng,A5101587732,A5101846669,95
286,stephanie j cooper,stephanie cooper,A5103638663,A5069552167,94
287,nan-sheng chen,nansheng chen,A5049486494,A5101610338,96
288,tyler cole,tyler r cole,A5108295940,A5113399058,91
289,a cisneros-montemayor,andrés m cisneros-montemayor,A5062836176,A5123238429,86
290,dave clarke,dave c clarke,A5075735110,A5112840346,92
291,dave clarke,david clarke,A5075735110,A5059649947,87
292,alexander ciok,alexander clow,A5106492693,A5047783624,86
293,daniel chiang,daniel chang,A5006979877,A5044668950,96
294,caroline coljin,caroline colijin,A5019122524,A5092252314,97
295,julien chopinb,julien chopin,A5117506030,A5088922176,96
296,yiting chen,ying chen,A5125353864,A5063849486,90
297,hugo f v cardoso,hugo fv cardoso,A5128743736,A5078265907,97
298,hugo f v cardoso,hugo cardoso,A5128743736,A5120668369,86
299,kieran d cox,kieran cox,A5130806629,A5031419507,91
300,hao chen,h chen,A5100353673,A5016870454,86
301,lei chen,fei chen,A5100333516,A5100405410,88
302,ling chen,long chen,A5100411084,A5100336427,89
303,ling chen,jing chen,A5100411084,A5046422844,89
304,ling chen,ying chen,A5100411084,A5063849486,89
305,xi chen,si chen,A5100329932,A5100366165,86
306,k m chan,k chan,A5106296584,A5062304618,86
307,yi‐chun chen,yuchun chen,A5100688437,A5101769288,87
308,wen chen,bowen chen,A5100344143,A5100675175,89
309,wen chen,xiwen chen,A5100344143,A5100657341,89
310,wen chen,w chen,A5100344143,A5002960083,86
311,si chen,sibo chen,A5100366165,A5101582225,88
312,victor chen,victor cheung,A5078297482,A5055399971,92
313,jing chen,ying chen,A5046422844,A5063849486,89
314,hugo fv cardoso,hugo cardoso,A5078265907,A5120668369,89
315,yuchi chen,yuchun chen,A5101824630,A5101769288,86
316,andrés m cisneros-montemayor,andrés  m cisneros-montemayor,A5123238429,A5124135382,98
317,paul deane,paul delany,A5043341053,A5016079579,86
318,paul deane,paul dancey,A5043341053,A5004228996,86
319,paul a demers,paul demers,A5074591005,A5060986747,92
320,iain davidson,ian g davison,A5086553616,A5020594160,85
321,peter dickinson,p dickinson,A5110108030,A5110875616,85
322,richard h day,richard day,A5091654993,A5102726304,92
323,steven j davis,steven davis,A5071904703,A5102301191,92
324,jian dong,jianghu dong,A5053518365,A5022468710,86
325,jian dong,jiang dong,A5053518365,A5011646320,95
326,jane dawson,janis dawson,A5068884738,A5057204373,87
327,zhiwei deng,ziwei ding,A5101529579,A5075589776,86
328,james p delgrande,james p delgado,A5002046734,A5087861481,88
329,christopher m davis,christopher davis,A5035263072,A5102927802,94
330,sam m doesburg,sam doesburg,A5081393957,A5022796523,92
331,john dickinson,john c dickinson,A5079448410,A5004307798,93
332,john dickinson,joël dickinson,A5079448410,A5066652982,86
333,michael donaldson,michael dobinson,A5080381206,A5003319157,85
334,gj davidson,s davidson,A5029736495,A5112924661,86
335,jonathan c driver,jonathan driver,A5069378403,A5129518471,94
336,megan j donahue,megan donahue,A5041923620,A5125610390,93
337,j maxwell donelan,maxwell donelan,A5069056622,A5113857065,94
338,j maxwell donelan,james maxwell donelan,A5069056622,A5121342277,89
339,sheíla delany,sheila delany,A5053163006,A5124739813,92
340,garth w p davies,garth davies,A5061377171,A5104079126,86
341,christopher davis,christopher dircks,A5102927802,A5062089002,86
342,stephanie dawson,stephanie e dawson,A5001264567,A5103810967,94
343,andréanne doyon,andré doyon,A5020845547,A5066893131,85
344,christine dreyer,christine dyrager,A5108213475,A5072354686,85
345,jorge andrés delgado‐ron,jorge andres delgado-ron,A5009877121,A5110662574,92
346,ian dyck,a dyck,A5033663516,A5109667132,86
347,a catherine d’andrea,catherine d’andrea,A5101688213,A5013868450,95
348,jianghu dong,jiang dong,A5022468710,A5011646320,91
349,jason j dickinson,john c dickinson,A5044978016,A5004307798,85
