sv_name,oa_name,sv_id,oa_id,similarity_score
stuart j peacock,stuart peacock,55785767800,A5076902800,93
david h huntley,david huntley,57225303774,A5024239109,93
patrick r palmer,patrick palmer,55848695200,A5090621082,93
matthew l brown,matthew brown,56972419000,A5041724055,93
ray a kostaschuk,ray kostaschuk,7003978136,A5073669293,93
iain d mckenzie,iain mckenzie,7202607692,A5069964985,93
mila b lazarova,mila lazarova,9041422000,A5060103559,93
colin d copeland,colin copeland,36136875400,A5052851310,93
allison j carter,allison carter,55778469600,A5076004104,93
peter b borwein,peter borwein,7005219402,A5029261392,93
regine m gries,regine gries,7006335669,A5113549037,92
eugene l fiume,eugene fiume,7003516218,A5065764540,92
 grant,d grant,59739987300,A5107864583,92
lyn r bartram,lyn bartram,6602174809,A5084098357,92
felix j breden,felix breden,6701607469,A5087576955,92
roy carlson,roy l carlson,59807760700,A5061833621,92
darren r grant,darren grant,35427036600,A5031508239,92
john c harriss,john harriss,7004475771,A5072123694,92
jeong bon kim,jeong‐bon kim,8304603800,A5019704910,92
jack f martin,jack martin,7501555982,A5061285579,92
evan c mccuish,evan mccuish,55330876200,A5078853898,92
zuo guang ye,zuo‐guang ye,24443034100,A5029972713,92
john m webster,john webster,7402197165,A5112228279,92
jian li,jia li,58436524800,A5100405681,92
qiu lin,qi lin,57856271800,A5102608112,92
dirk m kirste,dirk kirste,37061101500,A5021762945,92
dianne j cyr,dianne cyr,55410575200,A5111411523,91
chris d shaw,chris shaw,7402629891,A5040961656,91
brian v funt,brian funt,7006906273,A5031537118,91
kieran d cox,kieran cox,57194499435,A5031419507,91
peter v hall,peter hall,57201225750,A5018086501,91
peter a hall,peter hall,55332947200,A5018086501,91
tae ho kim,tae‐ho kim,56168759700,A5100452164,90
jennifer cy chan,jennifer a chan,57656902600,A5067228740,90
krysta mila coyle,krysta m coyle,56304962400,A5046392619,90
kelsey lee,kelley lee,58669083900,A5019363540,90
elicia ma maine,elicia maine,6701560668,A5026047261,89
fengke lin,feng lin,57212311896,A5101414835,89
d c cross,d s cross,58313184000,A5112788832,89
john r thompson,j r thompson,55730132400,A5102732555,89
hua zhang,hao zhang,56675471800,A5100397026,89
tiago dias do vale,t dias do vale,57203328885,A5030251424,88
david cyrus mirhady,david c mirhady,54961377700,A5074194048,88
xi chen,yuxi chen,57464181400,A5100764265,88
carl james schwarz,carl j schwarz,7101995199,A5043600598,88
miriam pearl rosin,miriam p rosin,7005291683,A5089589253,88
sergio andrés sepúlveda,sergio a sepúlveda,8694415200,A5036506208,88
anthony randal mcintosh,anthony r mcintosh,35465675000,A5050825978,88
jiahe wang,jiacheng wang,57226131863,A5100727957,87
bonnie lynne gray,bonnie l gray,7202782646,A5110354105,87
karen l kavanagh,k l kavanagh,35433107700,A5028644503,86
yi wang,qi wang,57225083226,A5100341251,86
gabor kunstatter,g kunstatter,57206924708,A5031077701,86
margaret janey macdonald,margaret macdonald,7401501995,A5034867632,86
jing li,ming li,57216939987,A5100351426,86
julian andrew guttman,julian a guttman,7004426183,A5034140760,86
alissa nicole antle,alissa n antle,15060073500,A5021991829,85
zuo‑guang g ye,zuo‐guang ye,57248304100,A5029972713,85
jennifer marchbank,jen marchbank,8507633600,A5043025737,84
yuchi chen,yuxi chen,57193485712,A5100764265,84
john harvey borden,john h borden,7007168968,A5074800507,84
kiffer george card,kiffer g card,57188649371,A5022830508,84
miao zhang,hao zhang,57193678960,A5100397026,84
xiao zhang,hao zhang,55330996300,A5100397026,84
pietro spagnoletti,p spagnoletti,57188832538,A5071229096,84
jens lassen,j lassen,23094920500,A5088788971,84
michel c vetterli,m c vetterli,56381653900,A5019316470,83
habib sadat chaudhury,habib chaudhury,9039040400,A5014665875,83
david leonard baillie,david l baillie,35241837000,A5016629898,83
pawel kowalski,p kowalski,57224748486,A5029296798,83
b l liu,b liu,58372717600,A5114378471,83
caterina fortunata ramogida,caterina f ramogida,37034801500,A5016804317,83
andrew lewis feenberg,andrew feenberg,6602538264,A5009247091,83
yue chen,yuxi chen,57216638641,A5100764265,82
fenqi wang,qi wang,57212385020,A5100341251,82
victoria elizabeth claydon,victoria e claydon,6506256529,A5075903269,82
ruiqi wang,qi wang,57792895600,A5100341251,82
bingyun sun,xiangyu sun,36488788000,A5060002954,82
glen findlay tibbits,glen f tibbits,7004014332,A5028749728,82
jon smith,jason r smith,57199073910,A5061800498,82
tianzheng wang,jiacheng wang,55699245700,A5100727957,81
jiyuan li,jia li,57226157890,A5100405681,80
mohan zhang,hao zhang,57217109201,A5100397026,80
d liu,b liu,59617524800,A5114378471,80
mark a moore,margo m moore,7404470812,A5016934414,80
xin wang,qi wang,58097854500,A5100341251,80
pei wang,qi wang,57202576436,A5100341251,80
anjian li,jia li,57218566585,A5100405681,80
samara chaudhury,sidhartha chaudhury,59604801800,A5089946703,80
jiarui li,jia li,59785163100,A5100405681,80
jie wang,qi wang,57218868125,A5100341251,80
chenzheng li,cheng li,59152165700,A5100354297,80
peter r thompson,j r thompson,57205651253,A5102732555,79
adam je blanchard,a blanchard,57204253956,A5090446557,79
gwenn elizabeth flowers,gwenn e flowers,7006875558,A5045013234,79
andrew victor wister,andrew wister,6701495089,A5036927304,79
nan zhang,hao zhang,26023886900,A5100397026,78
yejia liu,jiayi liu,57205377655,A5100370772,78
bara singh,bp singh,57200378048,A5103582429,78
yubo chen,yuxi chen,57218701161,A5100764265,78
ying chen,yuxi chen,56040387500,A5100764265,78
ray zhang,hao zhang,56083560200,A5100397026,78
mary kelly,barry c kelly,59673935300,A5077116272,78
xiaoting sun,xiangyu sun,57223796303,A5060002954,78
hannah carpendale,sheelagh carpendale,58057749400,A5012561411,78
james k cavers,jk cavers,7005366081,A5034048445,78
michael lw thewalt,m l w thewalt,7006609975,A5078132551,77
jing xu,min xu,57196732836,A5100413849,77
j chen,mo chen,58745556500,A5100387244,77
james thompson,j r thompson,57383215700,A5102732555,77
xin li,ming li,57189987947,A5100351426,77
jaimy fischer,alain fischer,57203659741,A5029004287,77
margaret grant,darren grant,36709627300,A5031508239,77
jing li,jia li,57216939987,A5100405681,77
shaun mcdonald,john j mcdonald,56697869300,A5077824553,76
huazhong hogan yu,hua‐zhong yu,7405855808,A5028734301,76
xiaoya zhang,hao zhang,57220902381,A5100397026,76
joseph j thompson,j r thompson,56327680200,A5102732555,76
chelsey lee,kelley lee,57207257893,A5019363540,76
dingyi sun,xiangyu sun,57219588667,A5060002954,76
matthias danninger,m danninger,26221746900,A5039614567,76
howard zhang,hao zhang,58368085700,A5100397026,76
jie wang,jiacheng wang,57218868125,A5100727957,76
jessica li,jia li,57197841332,A5100405681,75
si chen,yuxi chen,57200504717,A5100764265,75
imin chen,mo chen,35306560600,A5100387244,75
leonard s sklar,l s sklar,7103239380,A5014602033,75
aryan davoudi,ali davoudi,59747461700,A5053089078,75
yubo chen,mo chen,57218701161,A5100387244,75
jiaxing li,jia li,58555571700,A5100405681,75
cong chen,mo chen,57221774756,A5100387244,75
ana sonea,s sonea,57210852492,A5064139665,75
qiushi lin,qi lin,58481182500,A5102608112,75
kath webster,john webster,36834394200,A5112228279,75
taylor m anderson,gail s anderson,56902130900,A5046194198,75
brandon lockhart,richard lockhart,57222179006,A5035238514,75
alexandra j fischer,alain fischer,59552623300,A5029004287,75
tingan li,ming li,57210262931,A5100351426,75
ken liu,helen liu,57364393000,A5101610756,75
rina wang,qi wang,59537723600,A5100341251,75
matthew c stewart,heather stewart,57199455286,A5062879863,75
long chen,mo chen,57202349101,A5100387244,75
shuo chen,mo chen,57842429100,A5100387244,75
daniel chonghwan lee,daniel c lee,57219039850,A5100392989,75
andy sun,xiangyu sun,57195133952,A5060002954,74
mengqin wang,qi wang,58118977100,A5100341251,74
sheryl thompson,j r thompson,57193131544,A5102732555,74
sophie borwein,peter borwein,57203476618,A5029261392,74
huiwen liu,helen liu,57224590777,A5101610756,74
taeil kim,tae‐ho kim,57205700445,A5100452164,74
andrea riccardo migone,andrea migone,16426069300,A5015345187,74
binyu chen,yuxi chen,57217236520,A5100764265,74
sam anderson,gail s anderson,57204007272,A5046194198,74
ian mcdonald,john j mcdonald,59710417000,A5077824553,74
ryley mcwilliams,robert r mcwilliams,59552894500,A5006194799,74
corina a andreoiu,c andreoiu,7003934114,A5006209868,74
xiaowen zhang,hao zhang,58511137000,A5100397026,73
yanlin lim,angelica lim,55924372600,A5054803584,73
zhitian zhang,hao zhang,57210362788,A5100397026,73
chuxuan zhang,hao zhang,58148929600,A5100397026,73
t m bubela,tania bubela,6508289453,A5089546614,73
xintian sun,xiangyu sun,56070983900,A5060002954,73
taeyoung kim,tae‐ho kim,57198491843,A5100452164,73
feng wang,jiacheng wang,59815240100,A5100727957,73
yang wang,jiacheng wang,57218475801,A5100727957,73
xiaolin sun,xiangyu sun,57955378400,A5060002954,73
julio sg montaner,joan montaner,7202587142,A5048009605,73
chengyu sun,xiangyu sun,57221746537,A5060002954,73
barry s davids,b davids,7003344594,A5065529657,73
joseph j thompson,sarah k thompson,56327680200,A5038186298,73
n s smith,jason r smith,56127029700,A5061800498,73
ze liu,b liu,59535375500,A5114378471,73
richard zhang,hao zhang,57219838274,A5100397026,73
daniel m shapiro,stanley j shapiro,7402062870,A5027605617,73
m j mishna,marni mishna,6508364063,A5082875903,73
diana m allen,ryan w allen,55808760900,A5039444427,72
george watkins,g d watkins,58104898200,A5109056508,72
jeongmee kim,jeong‐bon kim,57218457561,A5019704910,72
ryan j smith,jason r smith,59077181200,A5061800498,72
jiannan wang,jiacheng wang,38863309000,A5100727957,72
heng li,ming li,57419438300,A5100351426,71
ke zhang,hao zhang,58835262000,A5100397026,71
si chen,mo chen,57200504717,A5100387244,71
bixia wang,qi wang,57205341535,A5100341251,71
rimika chaudhury,habib chaudhury,57210733942,A5014665875,71
qingcan li,ming li,57205694562,A5100351426,71
samara chaudhury,habib chaudhury,59604801800,A5014665875,71
mohammad akbari,mohsen akbari,57212395140,A5039506035,71
haixu wang,qi wang,56590132700,A5100341251,71
eric lin,qi lin,36921090100,A5102608112,71
ke wang,qi wang,55712748700,A5100341251,71
lily lin,qi lin,49863888400,A5102608112,71
ena lee,monica lee,59645048800,A5057346446,71
xi chen,mo chen,57464181400,A5100387244,71
tony d williams,vance e williams,7404172708,A5010948237,71
qimin chen,mo chen,57382754500,A5100387244,71
nicholas a scott,william a scott,39362313000,A5001064251,71
brian li,jia li,57203169041,A5100405681,71
jiahe wang,qi wang,57226131863,A5100341251,71
jiaxing li,ming li,58555571700,A5100351426,71
bowen chen,mo chen,57219506217,A5100387244,71
will f mckenzie,iain mckenzie,59319119500,A5069964985,71
lisa lin,qi lin,56537319300,A5102608112,71
yadvinder singh,ravi chand singh,57206181709,A5047641614,71
feng liu,helen liu,57192301448,A5101610756,71
natalie c williams,vance e williams,57217038690,A5010948237,71
aspen m anderson,gail s anderson,57194637587,A5046194198,71
binglin li,ming li,57205368212,A5100351426,71
xiang xu,min xu,57188645378,A5100413849,71
j a macdonald,margaret macdonald,58137797100,A5034867632,71
brittni thompson,j r thompson,57216850907,A5102732555,71
ying duan,jun duan,57203331764,A5072983949,71
glenn h chapman,alexander l chapman,7202936504,A5042419426,71
sheryl thompson,sarah k thompson,57193131544,A5038186298,71
gavin xu,min xu,57226272921,A5100413849,71
shuxing li,ming li,55315987100,A5100351426,71
john r thompson,sarah k thompson,55730132400,A5038186298,71
