index,sv_name,oa_name,sv_id,oa_id,similarity_score
597,wenzao li,ming li,56089546300,A5100351426,50
613,tawei liu,yan‐jun liu,56555456900,A5100349652,50
572,binglin li,jia li,57205368212,A5100405681,50
629,jiarui li,ming li,59785163100,A5100351426,50
626,kun liu,jiayi liu,57217039511,A5100370772,50
618,xin li,chunmei li,57189987947,A5100427221,50
639,angelica (min hye) lee,monica lee,57215776540,A5057346446,50
633,em g lim,angelica lim,57831947600,A5054803584,50
663,xiaorui li,chunmei li,56306779600,A5100427221,50
674,shanna my li,cheng li,57221738372,A5100354297,50
631,lisa lin,feng lin,56537319300,A5101414835,50
917,shuqi liu,yan‐jun liu,58057756500,A5100349652,50
914,mark lee,daniel c lee,57219825843,A5100392989,50
913,mark lee,ki‐young lee,57219825843,A5100719654,50
933,suemin lee,kelley lee,57222084312,A5019363540,50
692,haijuan li,chunmei li,57218401984,A5100427221,50
689,haijuan li,jia li,57218401984,A5100405681,50
687,anjian li,ming li,57218566585,A5100351426,50
710,xiaoxue liu,helen liu,57204556952,A5101610756,50
709,xiaoxue liu,b liu,57204556952,A5114378471,50
708,zheyuan li,chunmei li,57224822134,A5100427221,50
705,zheyuan li,jia li,57224822134,A5100405681,50
702,manyi li,cheng li,57192068082,A5100354297,50
699,jiayi liu,yan‐jun liu,58550253900,A5100349652,50
729,lily lin,feng lin,49863888400,A5101414835,50
759,xiulong liu,jiayi liu,55981047600,A5100370772,50
665,linyi li,cheng li,57211756552,A5100354297,50
756,xiulong liu,b liu,55981047600,A5114378471,50
748,kenneth liu,b liu,57974743200,A5114378471,50
891,guanyu li,ming li,59390171200,A5100351426,50
1388,simon ji hau wang,qi wang,36496079000,A5100341251,50
875,jane sy li,chunmei li,58668755300,A5100427221,50
1304,poppy sun,xiangyu sun,59592721600,A5060002954,50
898,stephen chengxi li,chunmei li,59545707900,A5100427221,50
880,justin long,nguyễn quang long,58292542600,A5018451341,50
1378,beidou wang,jiacheng wang,55775560600,A5100727957,50
783,jonathan lee,ki‐young lee,55147369200,A5100719654,50
784,jonathan lee,daniel c lee,55147369200,A5100392989,50
797,brian li,cheng li,57203169041,A5100354297,50
794,xiaosu li,ming li,57225920605,A5100351426,50
821,xinru li,cheng li,57218939828,A5100354297,50
819,richard li,chunmei li,57888134600,A5100427221,50
812,carlos lee,kelley lee,57220892325,A5019363540,50
827,jessica li,chunmei li,57197841332,A5100427221,50
851,bingfan liu,helen liu,59487044600,A5101610756,50
845,fengke lin,qi lin,57212311896,A5102608112,50
842,eric lee,ki‐young lee,59710754100,A5100719654,50
278,alex cy fang,mei lan fang,57200672982,A5008149652,50
301,samantha m gray,bonnie l gray,57200762040,A5110354105,50
184,winfield chen,mo chen,57221318908,A5100387244,50
319,stephen d hart,michael w hart,7202601274,A5053201473,50
188,han cao,jiguo cao,57216440698,A5062483690,50
187,zhefan chen,yuxi chen,57222654013,A5100764265,50
23,shahrazad amin,m h s amin,58793840600,A5112270021,50
1146,seong-hyeon park,youn‐il park,57203850725,A5072961887,50
93,nansheng chen,mo chen,55573104300,A5100387244,50
1247,richard k smith,jason r smith,7410290815,A5061800498,50
1240,william a scott,charles scott,57651636000,A5039664215,50
1234,danyang song,xiaowei song,57205425730,A5036261443,50
1375,christopher david webster,john webster,7201838752,A5112228279,49
1246,brigitta r sun,xiangyu sun,57221981307,A5060002954,48
1162,reza moradi rad,ab rad,57196880245,A5087944994,48
354,yuhua jin,dal yong jin,58818072100,A5041172302,48
336,kirk a hart,stephen d hart,57192158322,A5055395163,48
189,spencer x chen,mo chen,58183177400,A5100387244,48
1556,monica ye,zuo‐guang ye,57204597588,A5029972713,48
179,changan chen,yuxi chen,57219740329,A5100764265,48
21,willow samara allen,george e allen,57210116155,A5006221782,48
854,grayson lee,kelley lee,59137357900,A5019363540,48
144,kennedy s chen,mo chen,57215129380,A5100387244,48
805,hanhung lee,monica lee,57473697300,A5057346446,48
846,min-hye lee,kelley lee,57225983721,A5019363540,48
808,wonchul lee,kelley lee,57264775600,A5019363540,48
779,gem y lee,ki‐young lee,58055605100,A5100719654,48
830,vivian py lee,ki‐young lee,58323846600,A5100719654,48
869,haggai liu,yan‐jun liu,57305249200,A5100349652,48
1150,minjeong park,youn‐il park,57204546906,A5072961887,48
866,robyn lee,daniel c lee,58951232600,A5100392989,48
903,hyunwoo lee,kelley lee,55751730700,A5019363540,48
937,amy huey yi lee,kelley lee,59661104900,A5019363540,48
651,hsufeng lee,monica lee,55924615100,A5057346446,48
724,yerin lee,daniel c lee,57203855079,A5100392989,48
696,chaochun liu,jiayi liu,57203659208,A5100370772,48
904,hyunwoo lee,monica lee,55751730700,A5057346446,48
1308,zheng john shen,kelly shen,57788453900,A5006850713,48
773,janghyeon lee,ki‐young lee,58374461300,A5100719654,48
650,hsufeng lee,kelley lee,55924615100,A5019363540,48
465,bingxuan liu,helen liu,58603818900,A5101610756,48
389,dongwoo kim,tae‐ho kim,57205207510,A5100452164,48
343,weina jin,dal yong jin,57188873086,A5041172302,48
361,woo soo kim,tae‐ho kim,17136903100,A5100452164,48
1230,jiabin shen,kelly shen,57210415426,A5006850713,48
1232,jeungeun song,xiaowei song,57189515572,A5036261443,48
1093,ruth elwood martin,jack martin,20734292200,A5061285579,48
1539,connie yu,hua‐zhong yu,57208742908,A5028734301,48
382,lawrence h kim,woo soo kim,56742755100,A5000223592,48
471,jiangchuan chuan liu,jiayi liu,8969748600,A5100370772,48
450,freddie kim,tae‐ho kim,59458558600,A5100452164,48
437,pyojin kim,woo soo kim,59563842600,A5000223592,48
416,woochul kim,tae‐ho kim,58658203400,A5100452164,48
395,suyoung kim,tae‐ho kim,57211871654,A5100452164,48
280,jiahui feng,changyong feng,58311653000,A5089845667,48
1212,junwei sun,xiangyu sun,57191975948,A5060002954,48
218,hongwen chen,yuxi chen,58666893100,A5100764265,48
526,chelsey lee,monica lee,57207257893,A5057346446,48
1500,z m wang,jiacheng wang,55719869100,A5100727957,48
1002,jessica lee,kelley lee,58701988800,A5019363540,48
959,weihua liu,yan‐jun liu,57222253228,A5100349652,48
1290,z john shen,kelly shen,58290657600,A5006850713,48
587,alison yueh li,ming li,56039303800,A5100351426,48
620,arita li liu,helen liu,57200987873,A5101610756,48
986,ze liu,yan‐jun liu,59535375500,A5100349652,47
961,keon ju maverick lee,kelley lee,59558996300,A5019363540,47
952,feng liu,jiayi liu,57192301448,A5100370772,47
1017,jing li,chunmei li,57216939987,A5100427221,47
998,jan lee,kelley lee,57252778500,A5019363540,47
523,chunmei li,ming li,55696026700,A5100351426,47
533,dennis y liu,b liu,57203150185,A5114378471,47
552,chunhong liu,b liu,57218798436,A5114378471,47
1250,jaspreet singh,ravi chand singh,57209207252,A5047641614,47
71,christine a bishop,elizabeth bishop,7202946338,A5111051453,47
826,jessica li,ming li,57197841332,A5100351426,47
874,jane sy li,ming li,58668755300,A5100351426,47
818,richard li,ming li,57888134600,A5100351426,47
686,anjian li,cheng li,57218566585,A5100354297,47
739,luyao lin,feng lin,57194191419,A5101414835,47
894,chuyuan lin,qi lin,58148715300,A5102608112,47
890,guanyu li,cheng li,59390171200,A5100354297,47
860,zixuan li,cheng li,57225184392,A5100354297,47
725,dongmeng liu,b liu,57202874971,A5114378471,47
920,jiyuan li,cheng li,57226157890,A5100354297,47
707,zheyuan li,ming li,57224822134,A5100351426,47
1440,william wl wong,jennifer s wong,56842018200,A5018101953,47
693,chaochun liu,b liu,57203659208,A5114378471,47
288,cai (mitsu) feng,changyong feng,59173501800,A5089845667,47
662,xiaorui li,ming li,56306779600,A5100351426,47
619,arita li liu,b liu,57200987873,A5114378471,47
607,guiliang liu,b liu,57204467338,A5114378471,47
975,jian li,chunmei li,58436524800,A5100427221,47
199,howard anthony chan,jennifer a chan,7403402211,A5067228740,47
1450,rachel wong,jennifer s wong,57214449349,A5018101953,46
1032,sabrina sm lee,ki‐young lee,27169595700,A5100719654,46
1085,rui ma,hang ma,56317141300,A5024389928,46
1274,jesse scott,william a scott,55790236900,A5001064251,46
486,paul chi hang li,chunmei li,55638723000,A5100427221,46
672,rebekah hy lee,daniel c lee,57221940572,A5100392989,46
671,rebekah hy lee,ki‐young lee,57221940572,A5100719654,46
1427,sandra wong,jennifer s wong,57190034594,A5018101953,46
1159,ahamad besharati rad,ab rad,7005277683,A5087944994,46
681,heng li,jia li,57419438300,A5100405681,46
1381,kahung wong,jennifer s wong,56294067200,A5018101953,46
22,willow samara allen,ryan w allen,57210116155,A5039444427,45
94,nansheng chen,yuxi chen,55573104300,A5100764265,45
928,chae rim lee,kelley lee,57219309476,A5019363540,45
936,suemin lee,daniel c lee,57222084312,A5100392989,45
814,carlos lee,ki‐young lee,57220892325,A5100719654,45
838,nelson lee,ki‐young lee,57974923900,A5100719654,45
815,carlos lee,daniel c lee,57220892325,A5100392989,45
1115,zining mao,z morley mao,59462097200,A5003217329,45
1532,fenggen yu,hua‐zhong yu,57195302065,A5028734301,45
581,frank js lee,kelley lee,23484073300,A5019363540,45
461,min-suk kim,woo soo kim,58770590200,A5000223592,45
564,yungshan lee,kelley lee,54882053400,A5019363540,45
377,taeil kim,jeong‐bon kim,57205700445,A5019704910,45
1091,yuzhen mao,z morley mao,58034742000,A5003217329,45
1531,stephen yu,hua‐zhong yu,57189311081,A5028734301,45
445,tommy kim,jeong‐bon kim,58186749800,A5019704910,45
888,zhen lisa li,chunmei li,59197740200,A5100427221,45
