sv_name,oa_name,sv_id,oa_id,sv_pubs,oa_pubs,sv_cited,oa_cited,similarity_score
rimika chaudhury,habib chaudhury,57210733942,A5014665875,4,210,10,5406,71
qingcan li,ming li,57205694562,A5100351426,2,258,82,4282,71
samara chaudhury,habib chaudhury,59604801800,A5014665875,1,210,0,5406,71
mohammad akbari,mohsen akbari,57212395140,A5039506035,12,246,286,11624,71
haixu wang,qi wang,56590132700,A5100341251,5,126,24,1686,71
eric lin,qi lin,36921090100,A5102608112,19,89,423,665,71
ke wang,qi wang,55712748700,A5100341251,71,126,3142,1686,71
lily lin,qi lin,49863888400,A5102608112,3,89,37,665,71
ena lee,monica lee,59645048800,A5057346446,3,232,49,5309,71
xi chen,mo chen,57464181400,A5100387244,6,265,41,5159,71
tony d williams,vance e williams,7404172708,A5010948237,106,139,1677,1624,71
qimin chen,mo chen,57382754500,A5100387244,4,265,24,5159,71
nicholas a scott,william a scott,39362313000,A5001064251,15,76,201,1963,71
brian li,jia li,57203169041,A5100405681,2,997,29,18198,71
jiahe wang,qi wang,57226131863,A5100341251,1,126,17,1686,71
jiaxing li,ming li,58555571700,A5100351426,5,258,16,4282,71
bowen chen,mo chen,57219506217,A5100387244,2,265,14,5159,71
will f mckenzie,iain mckenzie,59319119500,A5069964985,2,139,4,1637,71
lisa lin,qi lin,56537319300,A5102608112,6,89,35,665,71
yadvinder singh,ravi chand singh,57206181709,A5047641614,19,139,683,3467,71
feng liu,helen liu,57192301448,A5101610756,1,291,1,3472,71
natalie c williams,vance e williams,57217038690,A5010948237,1,139,8,1624,71
aspen m anderson,gail s anderson,57194637587,A5046194198,3,144,3,2665,71
binglin li,ming li,57205368212,A5100351426,9,258,98,4282,71
xiang xu,min xu,57188645378,A5100413849,6,796,65,12050,71
j a macdonald,margaret macdonald,58137797100,A5034867632,1,122,4,923,71
brittni thompson,j r thompson,57216850907,A5102732555,1,400,33,11012,71
ying duan,jun duan,57203331764,A5072983949,5,136,102,2692,71
glenn h chapman,alexander l chapman,7202936504,A5042419426,32,240,78,8317,71
sheryl thompson,sarah k thompson,57193131544,A5038186298,7,189,64,4570,71
gavin xu,min xu,57226272921,A5100413849,1,796,8,12050,71
shuxing li,ming li,55315987100,A5100351426,9,258,93,4282,71
john r thompson,sarah k thompson,55730132400,A5038186298,19,189,371,4570,71
qihan xu,min xu,59729857200,A5100413849,1,796,0,12050,71
david c thompson,j r thompson,57966537000,A5102732555,1,400,4,11012,71
yizhi wang,qi wang,57200661953,A5100341251,5,126,16,1686,71
andreas fischer,alain fischer,57201733481,A5029004287,14,1229,124,101519,71
lei chen,yuxi chen,56612496600,A5100764265,13,140,315,1283,71
claire peacock,stuart peacock,57208062311,A5076902800,3,338,46,8095,71
yufei wang,qi wang,57222498131,A5100341251,1,126,4,1686,71
jian li,ming li,58436524800,A5100351426,1,258,33,4282,71
rishav singh,ravi chand singh,59088317900,A5047641614,1,139,1,3467,71
krzysztof starosta,k starosta,7004073992,A5034578283,58,267,627,4947,71
aimin chen,mo chen,55447267000,A5100387244,1,265,29,5159,71
aleyah williams,vance e williams,57225966700,A5010948237,1,139,5,1624,71
zhida li,jia li,57190841490,A5100405681,14,997,334,18198,71
dongho kim,jeong‐bon kim,57214770459,A5019704910,3,328,41,14207,70
xiaokong zhang,hao zhang,57222133578,A5100397026,1,1370,1,63147,70
xiaoxing zhang,hao zhang,57202358222,A5100397026,3,1370,75,63147,70
siyuan chen,yuxi chen,59817205600,A5100764265,4,140,65,1283,70
yixuan chen,yuxi chen,57328681600,A5100764265,5,140,36,1283,70
jiayue chen,yuxi chen,57221630885,A5100764265,1,140,16,1283,70
yizhou chen,yuxi chen,57382729000,A5100764265,3,140,23,1283,70
g m gutman,gloria gutman,34769660700,A5049634235,38,223,341,2188,70
dara kelly,barry c kelly,57192095652,A5077116272,2,97,22,6190,70
jialin song,xiaowei song,59444806000,A5036261443,2,241,2,8026,70
jenli shen,kelly shen,57206189589,A5006850713,2,79,14,2459,70
jaeyong lee,ki‐young lee,39762111800,A5100719654,7,106,280,2873,70
sean p cox,kieran cox,7401456247,A5031419507,24,82,337,3264,70
samantha henrie thompson,sarah k thompson,57224545759,A5038186298,1,189,5,4570,70
jason wang,jiacheng wang,58670992800,A5100727957,1,124,0,2294,70
melanie lee,daniel c lee,57191731525,A5100392989,14,96,86,8824,70
a m côté,isabelle m côté,57211556945,A5048073547,4,324,128,24274,70
jihyun park,youn‐il park,59720645100,A5072961887,1,202,0,8311,70
