,name1,name2,id1,id2,similarity_score
148,b liu,b lu,A5114378471,A5067826387,89
149,b liu,k liu,A5114378471,A5069328618,80
150,b liu,b x liu,A5114378471,A5114290805,83
151,jia li,jiayi liu,A5100405681,A5100370772,80
152,jia li,jiaqi lei,A5100405681,A5100904643,80
153,jia li,yejia liu,A5100405681,A5077085197,80
154,cheng li,cheng lit,A5100354297,A5094001550,94
155,kelley lee,kelsey lee,A5019363540,A5047999240,90
156,ming li,ying lei,A5100351426,A5071997927,80
157,amy lee,amy hy lee,A5100686477,A5102626370,82
158,amy lee,a lee,A5100686477,A5079846513,83
159,jiayi liu,jiaqi lei,A5100370772,A5100904643,78
160,jiayi liu,yejia liu,A5100370772,A5077085197,78
161,thomas m loughin,tom loughin,A5113992995,A5025177465,81
162,amy huei‐yi lee,amy hy lee,A5029495209,A5102626370,80
163,paul c h li,paul li,A5088254081,A5029788647,78
164,richard lockhart,richard loat,A5035238514,A5052159696,86
165,qi lin,zi lin,A5102608112,A5110229964,83
166,angelica lim,angelica lee,A5054803584,A5064843057,83
167,alexandra lysova,alexandra v lysova,A5088763872,A5096742315,94
168,sabrina s m lee,sabrina sm lee,A5080857003,A5079701172,97
169,zi lin,ziv levin,A5110229964,A5117287733,80
170,linyi li,li yi lim,A5101915882,A5108281017,82
171,tingan li,bingfan liu,A5034308738,A5025258144,80
172,tingan li,qingcan li,A5034308738,A5014078397,84
173,ke li,k liu,A5100343528,A5069328618,80
174,chelsey lee,kelsey lee,A5037459113,A5047999240,86
175,n lehmann,k lehmann,A5107889357,A5105764596,89
176,li yi lim,zhi yih lim,A5108281017,A5112501593,80
177,j lee,a lee,A5020077930,A5079846513,80
178,bingfan liu,bing lu,A5025258144,A5055319860,78
179,luyao lin,leyao lin,A5062615947,A5025114845,89
180,laura luo,laura laura,A5112893128,A5081524343,80
181,elfituri s lahemer,elfituri lahamer,A5032341373,A5055198520,88
182,z liu,k liu,A5075830845,A5069328618,80
183,ryan d morin,r d morin,A5081644676,A5027417971,86
184,john j mcdonald,john a macdonald,A5077824553,A5103468821,90
185,paul meyer,p meyer,A5019323500,A5109005649,82
186,gordon mctaggart-cowan,gp mctaggart-cowan,A5040189249,A5108717311,85
187,elicia maine,alicia massie,A5026047261,A5005330408,80
188,alexander moens,alexander moiseev,A5025859917,A5103429954,81
189,daniel d marshall,dan marshall,A5112642773,A5112003754,83
190,john a macdonald,ja macdonald,A5103468821,A5000418425,86
191,ian w mcdonald,shaun mcdonald,A5013915655,A5058388442,79
192,kathleen m millar,kathleen p moriarty,A5024729816,A5014447300,78
193,afagh mohagheghi,a mohaghegi,A5005637686,A5107013738,81
194,cameron mcrae,cameron michels,A5049686352,A5080344862,79
195,zarah monfaredi,aryan monfared,A5082693605,A5079493724,83
196,m momtahen,maryam momtahen,A5113723884,A5092009233,80
197,cassia l mcintyre,david l mcintyre,A5020371516,A5011031991,79
198,mark mahadeo,mark n mahadeo,A5012970291,A5086131135,92
199,klinsmann j coelho silva meneses,klinsmann j coelho silva menes,A5062290806,A5093260777,97
200,finlay c macnab,finlay macnab,A5067609189,A5054475200,93
201,fiona margaret mackellar,fiona m mackellar,A5001691873,A5045703529,83
202,r d morin,d mori,A5027417971,A5044331480,80
203,masahiro niikura,masa niikura,A5089335621,A5108740660,86
204,anne‐marie nicol,anne marie nicol,A5110840814,A5113313391,94
205,anne‐marie nicol,anne-marie nicole,A5110840814,A5113360973,91
206,anne marie nicol,anne-marie nicole,A5113313391,A5113360973,91
207,william odom,will odom,A5073024818,A5056121536,86
208,marlena ornowska,ms marlena ornowska,A5064059636,A5109595986,91
209,katherine o’donnell,katherine a o’donnell,A5066229322,A5103744218,95
210,kimberly o’donnell,emeralde o’donnell,A5004670586,A5067539481,78
211,jf ogilvie,j f ogilvie,A5006142451,A5023738667,95
212,d c o’neil,dc oneil,A5103713192,A5045650275,89
213,david j price,david price,A5057027392,A5102969601,92
214,david j price,david j prime,A5057027392,A5103543042,92
215,david j price,david prime,A5057027392,A5009690588,83
216,david price,david j prime,A5102969601,A5103543042,83
217,david price,david prime,A5102969601,A5009690588,91
218,s panchapakesan,sathish panchapakesan,A5043684828,A5103910853,83
219,raymond a patterson,david a patterson,A5020415508,A5077202069,78
220,edward j park,edward park,A5027049699,A5111270872,92
221,michael parent,michael pruner,A5070692307,A5083754503,79
222,david j prime,david prime,A5103543042,A5009690588,92
223,mn prentice,m prentice,A5114055326,A5112929889,95
224,da patterson,david a patterson,A5110248522,A5077202069,83
225,michael p richards,michael richards,A5005684483,A5019215400,94
226,bernhard e riecke,bernhard rieke,A5016706227,A5108830512,90
227,stephen n robinovitch,stephen n robinovich,A5017663407,A5007182790,98
228,steven reynolds,steve reynolds,A5009546214,A5109852452,97
229,steven reynolds,s reynolds,A5009546214,A5060207717,80
230,sarah robinson,sarah j robinson,A5086557273,A5034966587,93
231,richard routledge,rick routledge,A5027424447,A5110179990,84
232,steve reynolds,s reynolds,A5109852452,A5060207717,83
233,eline a de rooij,eline de rooij,A5021349143,A5053298356,93
234,stephanie l rayner,stephanie l renkers,A5028857421,A5106797872,86
235,chase l radford,chase radford,A5007555900,A5035799498,93
236,ramani ramaseshan,ramani remaseshan,A5103840556,A5092835365,94
237,lauren faulkner rossi,lauren n faulkner rossi,A5023044639,A5072640534,95
238,patrick morgan ritchie,patrick m ritchie,A5040169002,A5086371059,87
239,pulindu ratnasekera,p ratnasekera,A5046908479,A5051949366,81
240,javairia rahim,javaria f rahim,A5006521692,A5055183771,90
