OpenAlex ID,ORCID,Name,Alt Names,Publications,Citations,h-index,Number of Institutions,first_names,last_name,last_init,name_raw,id,fi_ln
A5046589123,https://orcid.org/0000-0002-9841-6447,Hwee Hoon Tan,"['H H Tan', 'H. H. Tan', 'H.H. Tan', 'HWEE HOON TAN', 'Hwee H. Tan', 'Hwee Hoon', 'Hwee Hoon TAN', 'Hwee Hoon Tan', 'Hwee Tan', 'Hwee-Hoon Tan', 'Hwee-hoon Tan', 'TAN, Hwee Hoon', 'Tan Min Li Tan', 'Tan, Hwee Hoon.']",115,5536,27,5,Hwee Hoon,Tan,t,hwee hoon tan,A5046589123,H Tan
A5026015928,https://orcid.org/0000-0002-1365-8261,Richard J. Gonzalez,"['R Gonzalez', 'R. Gonzalez', 'R. J. Gonzalez', 'R. Johnston-González', 'R.J Gonzalez', 'R.J. Gonzalez', 'R.\xa0J. Gonzalez', 'Richard Gonzalez', 'Richard J Gonzalez', 'Richard J. Gonzalez', 'Richard Johnston González', 'Richard Johnston-González', 'Richard Johnston‐González', 'Richard\xa0J. Gonzalez']",85,2319,27,25,Richard J.,Gonzalez,g,richard j. gonzalez,A5026015928,R Gonzalez
A5027878327,https://orcid.org/0000-0002-7807-3803,Jasleen Kaur,"['J. Kaur', 'Jasleen Kaur']",75,704,14,19,Jasleen,Kaur,k,jasleen kaur,A5027878327,J Kaur
A5101860317,https://orcid.org/0000-0002-9344-4828,Jing Li,"['Jing LI', 'Jing Li', 'Li Jing', 'jing li']",69,258,6,22,Jing,Li,l,jing li,A5101860317,J Li
A5114026072,,Mohammadreza Mohseni,"['Mohammadreza Mohseni', 'Mohseni, Mohammadreza']",6,18,2,6,Mohammadreza,Mohseni,m,mohammadreza mohseni,A5114026072,M Mohseni
A5059939181,https://orcid.org/0000-0002-7650-012X,Anis Rahman,"['A. T. R. Rahman', 'Anis Rahman', 'Dr. Asim Rahman']",32,200,8,8,Anis,Rahman,r,anis rahman,A5059939181,A Rahman
A5055637970,https://orcid.org/0000-0001-9210-3290,Lawrence C. Loh,"['L. LOH', 'L. Loh', 'L.C. Loh', 'Lawrence C Loh', 'Lawrence C. Loh', 'Lawrence Chew Loh', 'Lawrence Loh']",125,1011,15,30,Lawrence C.,Loh,l,lawrence c. loh,A5055637970,L Loh
A5025234993,https://orcid.org/0000-0002-1623-9863,William Small,"['Charles R Thomas', 'Ehrenpreis, Eli Daniel', 'John P Hayes', 'Jr William Small', 'Small, W.', 'Small, William', 'W C Small', 'W Curtis Small', 'W SMALL', 'W Small', 'W. C. Small', 'W. Curtis Small', 'W. SMALL', 'W. Small', 'W. Small Jr', 'W.-C. Small', 'W.C. SMALL', 'W.C. Small', 'W.Curtis Small', 'WILLIAM C. SMALL', 'WILLIAM SMALL', 'William C. Small', 'William Small', 'William Small Jr', 'William Small Jr.', 'William Small, Jr.']",641,21113,69,93,William,Small,s,william small,A5025234993,W Small
A5109836311,,Paul Yeung,"['P. Yeung', 'P.P. Yeung', 'PAUL P. YEUNG', 'Paul P Yeung', 'Paul P. Yeung', 'Paul Yeung', 'Ronghua Yang', 'Yeung, P.']",110,3221,22,38,Paul,Yeung,y,paul yeung,A5109836311,P Yeung
A5032619246,https://orcid.org/0000-0003-4239-7432,Nirodha Epasinghege Dona,"['Nirodha Epasinghege Dona', 'Nirodha, Epasinghege Dona']",9,16,2,1,Nirodha Epasinghege,Dona,d,nirodha epasinghege dona,A5032619246,N Dona
A5090603985,https://orcid.org/0000-0003-3008-712X,Hamideh Bayrampour,"['Bayrampour, Hamideh', 'H Bayrampour', 'H. Bayrampour', 'Hamideh Bayrampour']",58,2486,24,14,Hamideh,Bayrampour,b,hamideh bayrampour,A5090603985,H Bayrampour
A5010289223,https://orcid.org/0000-0002-3726-6174,Marianna Tosato,"['M. Tosato', 'Marianna Tosato', 'Tosato, Marianna']",66,565,15,10,Marianna,Tosato,t,marianna tosato,A5010289223,M Tosato
A5043410648,https://orcid.org/0000-0002-1968-9288,Javith Mohammed Jailani,"['Jailani, Javith Mohammed', 'Javith Mohammed Jailani']",9,116,4,3,Javith Mohammed,Jailani,j,javith mohammed jailani,A5043410648,J Jailani
A5101794446,https://orcid.org/0009-0000-5875-484X,Jun Song,"['Jun Liang Song', 'Jun Song', 'Song, Jun']",56,540,10,7,Jun,Song,s,jun song,A5101794446,J Song
A5078101671,https://orcid.org/0000-0001-7405-5969,John M. Levis,"['J Levis', 'J.M. Levis', 'JOHN LEVIS', 'John  M. Levis', 'John Levis', 'John M Levis', 'John M. Levis', 'John Michael Levis', 'Levis, John', 'Levis, John M.', 'Levis, John Michael']",176,6042,31,14,John M.,Levis,l,john m. levis,A5078101671,J Levis
A5006193368,https://orcid.org/0000-0002-2741-0283,Diana Greene Foster,"['D FOSTER', 'D Foster', 'D Greene Foster', 'D. Foster', 'D. G. Foster', 'D. Greene Foster', 'D.G. Foster', 'Diana Foster', 'Diana G Foster', 'Diana G. Foster', 'Diana Greene Foster']",173,7600,50,30,Diana Greene,Foster,f,diana greene foster,A5006193368,D Foster
A5005398155,,R. R. Sitter,"['R R Sitter', 'R. R Sitter', 'R. R. SITTER', 'R. R. Sitter', 'R. Sitter', 'R.R Sitter', 'R.R. Sitter', 'RANDY R. SITTER', 'Randy R Sitter', 'Randy R. Sitter', 'Randy Sitter', 'Sitter, R. R.']",71,3096,30,9,R. R.,Sitter,s,r. r. sitter,A5005398155,R Sitter
A5055373870,https://orcid.org/0000-0003-3545-7505,Thomas Jennewein,"['Jennewein, T.', 'Jennewein, Thomas', 'T Jennewein', 'T. JENNEWEIN', 'T. Jennewein', 'THOMAS JENNEWEIN', 'Thomas D. Jennewein', 'Thomas Jennewein']",263,16353,51,20,Thomas,Jennewein,j,thomas jennewein,A5055373870,T Jennewein
A5078475271,https://orcid.org/0000-0001-8283-2879,Milan Bergeron‐Brlek,"['Bergeron-Brlek, Milan', 'M. Bergeron-Brlek', 'Milan Bergeron-Brlek', 'Milan Bergeron‐Brlek']",38,726,11,4,Milan,Bergeron‐Brlek,b,milan bergeron‐brlek,A5078475271,M Bergeron‐Brlek
A5012567312,https://orcid.org/0000-0002-5455-2551,Erin A. Hogg,"['ERIN A. HOGG', 'Erin A Hogg', 'Erin A. Hogg', 'Hogg, Erin A.']",17,44,3,1,Erin A.,Hogg,h,erin a. hogg,A5012567312,E Hogg
A5006263355,https://orcid.org/0000-0003-2259-1908,J. A. Hoffer,"['Del Maestro', 'Hoffer, J. A.', 'J A Hoffer', 'J Hoffer', 'J. A. Hoffer', 'J. HOFFER', 'J. Hoffer', 'J.A. Hoffer', 'Joaquin Andres Hoffer', 'Joaquín A. Hoffer', 'Joaquín Andrés Hoffer']",82,4171,32,16,J. A.,Hoffer,h,j. a. hoffer,A5006263355,J Hoffer
A5068751110,https://orcid.org/0000-0001-7565-6889,Hang Ma,"['H Ma', 'H. Ma', 'H.H.M. Ma', 'HANG MA', 'Hang MA', 'Hang Ma', 'Hongmin Ma', 'Kun Zhang', 'M. A. Hang', 'Ma Hang', 'Ma, Hang', 'Xiaoduo Li', 'Xiaoli Ye', 'Xue Chai', 'Xuegang Li']",266,5642,40,41,Hang,Ma,m,hang ma,A5068751110,H Ma
A5100718904,https://orcid.org/0000-0003-4136-7880,Xiaoya Zhang,"['Xiaoya Zhang', 'Yunpeng Qi', 'Zhang, Xiaoya']",52,703,10,20,Xiaoya,Zhang,z,xiaoya zhang,A5100718904,X Zhang
A5091512022,,Medha Satish Kumar,"['Kumar, Medha Satish', 'Medha Satish Kumar']",14,91,2,3,Medha Satish,Kumar,k,medha satish kumar,A5091512022,M Kumar
A5110683846,,S.C. Reynolds,['S.C. Reynolds'],8,91,2,3,S.C.,Reynolds,r,s.c. reynolds,A5110683846,S Reynolds
A5085183264,https://orcid.org/0000-0002-5341-6881,Mohsen Javdani,"['Javdani, Mohsen', 'Mohsen Javdani']",33,215,9,7,Mohsen,Javdani,j,mohsen javdani,A5085183264,M Javdani
A5047999240,https://orcid.org/0000-0003-4355-6319,Kelsey Lee,"['Kelsey Lee', 'Lee, Kelsey']",11,61,5,2,Kelsey,Lee,l,kelsey lee,A5047999240,K Lee
A5070682181,https://orcid.org/0000-0002-3847-192X,Mitchell D. Morningstar,"['M. D. Morningstar', 'M.D. Morningstar', 'Mitchell D Morningstar', 'Mitchell D. Morningstar', 'Mitchell Morningstar', 'Morningstar, Mitchell David']",19,104,4,6,Mitchell D.,Morningstar,m,mitchell d. morningstar,A5070682181,M Morningstar
A5087630902,https://orcid.org/0000-0002-4675-9202,Johannes Angermüller,"['Angermüller, Johannes', 'Angermüller, Johannes 1973-', 'Johannes Angermuller', 'Johannes Angermüller']",188,1361,18,61,Johannes,Angermüller,a,johannes angermüller,A5087630902,J Angermüller
A5000752275,,Freya Zinovieff,['Freya Zinovieff'],12,7,2,2,Freya,Zinovieff,z,freya zinovieff,A5000752275,F Zinovieff
