Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile,Primary author affiliation*,last_name,last_init,first_names,name_raw,potential_matches,fi_ln
"Loken Thornton, Wendy",24,2023,343,14.3,0.86,15,22235481700,https://www.scopus.com/authid/detail.url?authorId=22235481700,Simon Fraser University,loken thornton,l,wendy,wendy loken thornton,[],w loken thornton
"Zhang, Miao",23,2025,376,16.3,2.55,9,57193678960,https://www.scopus.com/authid/detail.url?authorId=57193678960,Simon Fraser University,zhang,z,miao,miao zhang,[],m zhang
"Chi-Liang Tsai, Cary Chi Liang",21,2023,166,7.9,0.52,13,25940583600,https://www.scopus.com/authid/detail.url?authorId=25940583600,Simon Fraser University,chi-liang tsai,c,cary chi liang,cary chi liang chi-liang tsai,[],c chi-liang tsai
"Di Lollo, Vincent",20,2024,163,8.2,0.58,26,7006727274,https://www.scopus.com/authid/detail.url?authorId=7006727274,Simon Fraser University,di lollo,d,vincent,vincent di lollo,[],v di lollo
"Ghosh-Hajra, Sujoy",20,2024,404,20.2,1.0,15,37047095400,https://www.scopus.com/authid/detail.url?authorId=37047095400,Florida Institute of Technology,ghosh-hajra,g,sujoy,sujoy ghosh-hajra,[],s ghosh-hajra
"Lu, Bing",19,2025,84,4.4,2.71,14,55798658400,https://www.scopus.com/authid/detail.url?authorId=55798658400,Simon Fraser University,lu,l,bing,bing lu,[],b lu
"Gary Wang, G.",16,2023,615,38.4,1.65,11,6507154481,https://www.scopus.com/authid/detail.url?authorId=6507154481,Simon Fraser University,gary wang,g,g,g gary wang,[],g gary wang
"Qi, Lin",16,2025,132,8.3,0.41,7,56673436500,https://www.scopus.com/authid/detail.url?authorId=56673436500,Simon Fraser University,qi,q,lin,lin qi,[],l qi
"Rahmani Dehaghani, Mostafa",16,2025,95,5.9,0.79,5,57980243500,https://www.scopus.com/authid/detail.url?authorId=57980243500,Simon Fraser University,rahmani dehaghani,r,mostafa,mostafa rahmani dehaghani,[],m rahmani dehaghani
"Ens, Jeff John",16,2025,68,4.3,1.09,6,57210203647,https://www.scopus.com/authid/detail.url?authorId=57210203647,Simon Fraser University,ens,e,jeff john,jeff john ens,[],j ens
"ten Brummelhuis, Lieke L.",14,2025,653,46.6,2.53,24,24545011500,https://www.scopus.com/authid/detail.url?authorId=24545011500,Simon Fraser University,ten brummelhuis,t,lieke l,lieke l ten brummelhuis,[],l ten brummelhuis
"Barrera-Machuca, Mayra Donaji",14,2021,377,26.9,1.87,11,56452760200,https://www.scopus.com/authid/detail.url?authorId=56452760200,Dalhousie University,barrera-machuca,b,mayra donaji,mayra donaji barrera-machuca,[],m barrera-machuca
"de Rooij, Eline A.",14,2025,151,10.8,1.28,10,33367484900,https://www.scopus.com/authid/detail.url?authorId=33367484900,Simon Fraser University,de rooij,d,eline a,eline a de rooij,[],e de rooij
"Zang, Xiao",13,2021,271,20.8,1.17,15,57192159108,https://www.scopus.com/authid/detail.url?authorId=57192159108,University of Minnesota Twin Cities,zang,z,xiao,xiao zang,[],x zang
"van Santen, Jeffrey A.",13,2025,1552,119.4,9.39,13,56699718200,https://www.scopus.com/authid/detail.url?authorId=56699718200,Simon Fraser University,van santen,v,jeffrey a,jeffrey a van santen,[],j van santen
"Custic, Ante",12,2024,90,7.5,0.72,7,56692881000,https://www.scopus.com/authid/detail.url?authorId=56692881000,Simon Fraser University,custic,c,ante,ante custic,[],a custic
"Freeman, David Juri",12,2024,83,6.9,0.42,5,56643995600,https://www.scopus.com/authid/detail.url?authorId=56643995600,Simon Fraser University,freeman,f,david juri,david juri freeman,[],d freeman
"Ranjbar Alvar, Saeed",12,2024,173,14.4,1.59,9,56368458900,https://www.scopus.com/authid/detail.url?authorId=56368458900,Unknown affiliation,ranjbar alvar,r,saeed,saeed ranjbar alvar,[],s ranjbar alvar
"Marín-Tello, Carmen Luisa",12,2024,20,1.7,0.13,13,57203105187,https://www.scopus.com/authid/detail.url?authorId=57203105187,Simon Fraser University,marín-tello,m,carmen luisa,carmen luisa marín-tello,[],c marín-tello
"Baghban Karimi, Ouldooz",12,2025,72,6.0,0.95,7,15061535900,https://www.scopus.com/authid/detail.url?authorId=15061535900,Simon Fraser University,baghban karimi,b,ouldooz,ouldooz baghban karimi,[],o baghban karimi
"Reilly, Katherine Margaret Anne",11,2025,75,6.8,0.54,4,57208432676,https://www.scopus.com/authid/detail.url?authorId=57208432676,Simon Fraser University,reilly,r,katherine margaret anne,katherine margaret anne reilly,[],k reilly
"Sierra-Hernandez, Carlos A.",11,2025,67,6.1,0.92,6,54941411000,https://www.scopus.com/authid/detail.url?authorId=54941411000,Simon Fraser University,sierra-hernandez,s,carlos a,carlos a sierra-hernandez,[],c sierra-hernandez
"Ben Yedder, Hanene",11,2025,225,20.5,2.32,7,57196223372,https://www.scopus.com/authid/detail.url?authorId=57196223372,Simon Fraser University,ben yedder,b,hanene,hanene ben yedder,[],h ben yedder
"Sadeghi Alavijeh, Alireza",11,2020,608,55.3,2.15,10,56414955300,https://www.scopus.com/authid/detail.url?authorId=56414955300,Simon Fraser University,sadeghi alavijeh,s,alireza,alireza sadeghi alavijeh,[],a sadeghi alavijeh
"Zhang, Zhilin",11,2022,144,13.1,0.88,9,57195335713,https://www.scopus.com/authid/detail.url?authorId=57195335713,"Amazon.com, Inc.",zhang,z,zhilin,zhilin zhang,[],z zhang
"Moraga, Sebastián Mildiner",10,2025,86,8.6,2.14,5,57218343898,https://www.scopus.com/authid/detail.url?authorId=57218343898,Simon Fraser University,moraga,m,sebastián mildiner,sebastián mildiner moraga,[],s moraga
"MacKay Altman, Rachel Mac Kay",10,2024,27,2.7,0.31,7,8553982900,https://www.scopus.com/authid/detail.url?authorId=8553982900,Simon Fraser University,mackay altman,m,rachel mac kay,rachel mac kay mackay altman,[],r mackay altman
"Migone, Andrea Riccardo",10,2025,48,4.8,1.99,12,16426069300,https://www.scopus.com/authid/detail.url?authorId=16426069300,Simon Fraser University,migone,m,andrea riccardo,andrea riccardo migone,[],a migone
"van Poorten, Brett T.",10,2023,71,7.1,0.74,18,8324771200,https://www.scopus.com/authid/detail.url?authorId=8324771200,Simon Fraser University,van poorten,v,brett t,brett t van poorten,[],b van poorten
"Azevedo, Vinicius Cavicchioli",10,2024,138,13.8,0.77,10,56007286400,https://www.scopus.com/authid/detail.url?authorId=56007286400,Simon Fraser University,azevedo,a,vinicius cavicchioli,vinicius cavicchioli azevedo,[],v azevedo
"Blettner, Daniela Patricia",10,2024,250,25.0,1.46,8,54082749200,https://www.scopus.com/authid/detail.url?authorId=54082749200,Simon Fraser University,blettner,b,daniela patricia,daniela patricia blettner,[],d blettner
"Ha, Olivia Katherine",10,2024,88,8.8,0.79,6,57190497052,https://www.scopus.com/authid/detail.url?authorId=57190497052,Simon Fraser University,ha,h,olivia katherine,olivia katherine ha,[],o ha
"Li, Tingan",10,2024,118,11.8,1.17,6,57210262931,https://www.scopus.com/authid/detail.url?authorId=57210262931,Simon Fraser University,li,l,tingan,tingan li,[],t li
"de Castell, Suzanne",10,2024,15,1.5,0.4,19,6506834863,https://www.scopus.com/authid/detail.url?authorId=6506834863,Simon Fraser University,de castell,d,suzanne,suzanne de castell,[],s de castell
"Choi, Stephen Kwok Kwong",9,2024,30,3.3,0.44,11,12446163000,https://www.scopus.com/authid/detail.url?authorId=12446163000,Simon Fraser University,choi,c,stephen kwok kwong,stephen kwok kwong choi,[],s choi
"Fremlin, Kate M.",9,2025,152,16.9,1.11,6,57210573271,https://www.scopus.com/authid/detail.url?authorId=57210573271,Simon Fraser University,fremlin,f,kate m,kate m fremlin,[],k fremlin
"van Wieren, Ken",9,2024,73,8.1,0.51,5,56102893200,https://www.scopus.com/authid/detail.url?authorId=56102893200,Simon Fraser University,van wieren,v,ken,ken van wieren,[],k van wieren
"González Hermosillo de la Maza, Sebastian",9,2024,48,5.3,0.55,4,57195277326,https://www.scopus.com/authid/detail.url?authorId=57195277326,Simon Fraser University,gonzález hermosillo de la maza,g,sebastian,sebastian gonzález hermosillo de la maza,[],s gonzález hermosillo de la maza
"Bruce Archibald, S.",9,2022,55,6.1,0.41,6,54384903800,https://www.scopus.com/authid/detail.url?authorId=54384903800,Simon Fraser University,bruce archibald,b,s,s bruce archibald,[],s bruce archibald
"Pimm, David",9,2024,44,4.9,2.36,8,22935412100,https://www.scopus.com/authid/detail.url?authorId=22935412100,Autonomous University of Barcelona,pimm,p,david,david pimm,[],d pimm
"von Nordenflycht, Andrew",8,2024,119,14.9,1.03,11,6507028397,https://www.scopus.com/authid/detail.url?authorId=6507028397,Simon Fraser University,von nordenflycht,v,andrew,andrew von nordenflycht,[],a von nordenflycht
"Sundhar Panchapakesan, Shanker Shyam",8,2025,699,87.4,2.25,9,55498238100,https://www.scopus.com/authid/detail.url?authorId=55498238100,Simon Fraser University,sundhar panchapakesan,s,shanker shyam,shanker shyam sundhar panchapakesan,[],s sundhar panchapakesan
"Chau, Leena W.",8,2024,58,7.3,0.77,5,56536183200,https://www.scopus.com/authid/detail.url?authorId=56536183200,Simon Fraser University,chau,c,leena w,leena w chau,[],l chau
"van Duynhoven, Alysha",8,2024,74,9.3,0.75,4,57209474417,https://www.scopus.com/authid/detail.url?authorId=57209474417,Simon Fraser University,van duynhoven,v,alysha,alysha van duynhoven,[],a van duynhoven
"Shamsi Kazem Abadi, Saeideh",8,2021,155,19.4,0.74,6,56291678300,https://www.scopus.com/authid/detail.url?authorId=56291678300,Simon Fraser University,shamsi kazem abadi,s,saeideh,saeideh shamsi kazem abadi,[],s shamsi kazem abadi
"Moens, Alexander",8,2025,2,0.3,0.21,4,6701750605,https://www.scopus.com/authid/detail.url?authorId=6701750605,Simon Fraser University,moens,m,alexander,alexander moens,[],a moens
"Jula, P.",7,2020,446,63.7,2.72,12,6507477022,https://www.scopus.com/authid/detail.url?authorId=6507477022,Technical University of Cluj-Napoca,jula,j,p,p jula,[],p jula
"von der Porten, Suzanne",7,2020,178,25.4,1.42,10,55872008000,https://www.scopus.com/authid/detail.url?authorId=55872008000,Simon Fraser University,von der porten,v,suzanne,suzanne von der porten,[],s von der porten
"Salari, Sina",7,2020,174,24.9,1.05,6,56940390800,https://www.scopus.com/authid/detail.url?authorId=56940390800,Simon Fraser University,salari,s,sina,sina salari,[],s salari
"Soh, Pekhooi Hooi",7,2024,356,50.9,2.37,16,6602089556,https://www.scopus.com/authid/detail.url?authorId=6602089556,Simon Fraser University,soh,s,pekhooi hooi,pekhooi hooi soh,[],p soh
"Ahmed, Usman Iqbal",7,2024,20,2.9,0.98,5,57217787833,https://www.scopus.com/authid/detail.url?authorId=57217787833,Simon Fraser University,ahmed,a,usman iqbal,usman iqbal ahmed,[],u ahmed
"Juan-Jordá, M. J.",7,2024,319,45.6,2.15,14,26025252900,https://www.scopus.com/authid/detail.url?authorId=26025252900,CSIC,juan-jordá,j,m j,m j juan-jordá,[],m juan-jordá
"Leigh Pigg, S. Leigh",7,2023,81,11.6,2.37,9,6601992551,https://www.scopus.com/authid/detail.url?authorId=6601992551,Simon Fraser University,leigh pigg,l,s leigh,s leigh leigh pigg,[],s leigh pigg
"Singh Kelsall, Tyson",7,2025,18,2.6,0.92,3,58475366500,https://www.scopus.com/authid/detail.url?authorId=58475366500,Simon Fraser University,singh kelsall,s,tyson,tyson singh kelsall,[],t singh kelsall
"Campion Loth, Jesse",7,2025,8,1.1,0.52,2,57222524289,https://www.scopus.com/authid/detail.url?authorId=57222524289,Simon Fraser University,campion loth,c,jesse,jesse campion loth,[],j campion loth
"LÃ©ger, RÃ©mi",7,2024,30,4.3,1.16,3,55974620700,https://www.scopus.com/authid/detail.url?authorId=55974620700,Simon Fraser University,lã©ger,l,rã©mi,rã©mi lã©ger,[],r lã©ger
"Chandrasena, Lalangi",7,2020,66,9.4,0.36,5,55585417000,https://www.scopus.com/authid/detail.url?authorId=55585417000,Simon Fraser University,chandrasena,c,lalangi,lalangi chandrasena,[],l chandrasena
"Zhang, Zhitian",6,2024,19,3.2,0.34,3,57210362788,https://www.scopus.com/authid/detail.url?authorId=57210362788,Simon Fraser University,zhang,z,zhitian,zhitian zhang,[],z zhang
"Chen, Qinghua",6,2024,10,1.7,1.32,2,57992064100,https://www.scopus.com/authid/detail.url?authorId=57992064100,The Education University of Hong Kong,chen,c,qinghua,qinghua chen,[],q chen
"Lo, Justin C.",6,2020,151,25.2,0.75,6,56803251500,https://www.scopus.com/authid/detail.url?authorId=56803251500,Simon Fraser University,lo,l,justin c,justin c lo,[],j lo
"Sumner, Nick",6,2023,44,7.3,0.92,5,42162037900,https://www.scopus.com/authid/detail.url?authorId=42162037900,Simon Fraser University,sumner,s,nick,nick sumner,[],n sumner
"Tai, Sheldon H.Sheldon",6,2021,50,8.3,0.37,4,58458539400,https://www.scopus.com/authid/detail.url?authorId=58458539400,Simon Fraser University,tai,t,sheldon hsheldon,sheldon hsheldon tai,[],s tai
"Burville, Kevin",6,2022,1,0.2,0.02,1,57222005648,https://www.scopus.com/authid/detail.url?authorId=57222005648,Simon Fraser University,burville,b,kevin,kevin burville,[],k burville
"Wang, Jennifer",6,2023,15,2.5,0.8,5,55833173500,https://www.scopus.com/authid/detail.url?authorId=55833173500,Simon Fraser University,wang,w,jennifer,jennifer wang,[np.int64(57882259400)],j wang
"Al-Rawi, Ahmed Khalid",69,2025,551,7.9855072463768115,1.19,20,55683085700,https://www.scopus.com/authid/detail.url?authorId=55683085700,Simon Fraser University,al-rawi,a,ahmed khalid,ahmed khalid al-rawi,[np.int64(59265299800)],a al-rawi
"Dias do Vale, T. D.",158,2025,1755,11.10759493670886,2.09,66,57201730337,https://www.scopus.com/authid/detail.url?authorId=57201730337,Simon Fraser University,dias do vale,d,t d,t d dias do vale,[np.int64(57202912172)],t dias do vale
"de Silva, Thushani",9,2024,232,25.77777777777778,2.24,8,57287468800,https://www.scopus.com/authid/detail.url?authorId=57287468800,Simon Fraser University,de silva,d,thushani,thushani de silva,[np.int64(57575566400)],t de silva
"Fartah Tolue, Shirin Fartash",8,2020,121,15.125,1.01,5,56483186100,https://www.scopus.com/authid/detail.url?authorId=56483186100,Simon Fraser University,fartah tolue,f,shirin fartash,shirin fartash fartah tolue,[np.int64(57215828343)],s fartah tolue
"Llorente Merino, J.",340,2025,8510,25.029411764705884,2.04,20,58100818300,https://www.scopus.com/authid/detail.url?authorId=58100818300,Simon Fraser University,llorente merino,l,j,j llorente merino,[np.int64(44461638200)],j llorente merino
"Yu, Huazhong Hogan",86,2023,1793,20.848837209302324,0.89,45,7405855808,https://www.scopus.com/authid/detail.url?authorId=7405855808,Simon Fraser University,yu,y,huazhong hogan,huazhong hogan yu,[np.int64(57344777600)],h yu
