,sv_name,oa_name,sv_id,oa_id,similarity_score
299,ramazan gençay,ramazan gençay,6603909062,A5091471139,100
300,kristen l gray,bonnie l gray,57216797712,A5110354105,100
301,samantha m gray,bonnie l gray,57200762040,A5110354105,100
302,margaret grant,d grant,36709627300,A5107864583,100
303,margaret grant,darren grant,36709627300,A5031508239,100
304,carole gerson,carole gerson,38261265100,A5113523032,100
305,amanda r gray,bonnie l gray,58870402100,A5110354105,100
306,mackenzie graves,michael f graves,59539405400,A5001443059,100
307,darren r grant,d grant,35427036600,A5107864583,100
308,darren r grant,darren grant,35427036600,A5031508239,100
309, grant,d grant,59739987300,A5107864583,100
310, grant,darren grant,59739987300,A5031508239,100
311,cameron j grant,d grant,57211079732,A5107864583,100
312,cameron j grant,darren grant,57211079732,A5031508239,100
313,farid golnaraghi,farid golnaraghi,7003988491,A5054537100,100
314,kanna hayashi,kanna hayashi,33267650300,A5029471416,100
315,lindsay hedden,lindsay hedden,37031088300,A5030396427,100
316,pavol hell,pavol hell,7004529543,A5075416144,100
317,igor f herbut,igor f herbut,7003565312,A5023970139,100
318,stephen d hart,stephen d hart,7202601274,A5055395163,100
319,stephen d hart,michael w hart,7202601274,A5053201473,100
320,pascal haegeli,pascal haegeli,23099824700,A5065438853,100
321,marek hatala,marek hatala,57203069442,A5051581150,100
322,peter v hall,peter hall,57201225750,A5018086501,100
323,anil hira,anil hira,6602185359,A5006967128,100
324,mohamed m hefeeda,mohamed hefeeda,20433459500,A5084024266,100
325,david s hik,david s hik,6701520921,A5090776586,100
326,michael w hart,stephen d hart,55684330400,A5055395163,100
327,michael w hart,michael w hart,55684330400,A5053201473,100
328,felix henningsen,felix henningsen,6602244525,A5020847142,100
329,john c harriss,john harriss,7004475771,A5072123694,100
330,mohamed hefeeda,mohamed hefeeda,57204281290,A5084024266,100
331,margaret isabel hall,peter hall,16041779300,A5018086501,100
332,norbert h haunerland,norbert h haunerland,7004689270,A5028440357,100
333,hannah m hall,peter hall,57755790100,A5018086501,100
334,amy harris,andrew b harris,57668675700,A5011644095,100
335,peter a hall,peter hall,55332947200,A5018086501,100
336,kirk a hart,stephen d hart,57192158322,A5055395163,100
337,kirk a hart,michael w hart,57192158322,A5053201473,100
338,david h huntley,david huntley,57225303774,A5024239109,100
339,danielle v harris,andrew b harris,55503085900,A5011644095,100
340,dal yong jin,dal yong jin,7201973561,A5041172302,100
341,steven jm jones,steven jm jones,55732380600,A5100728059,100
342,wayne jones,steven jm jones,7404562890,A5100728059,100
343,weina jin,dal yong jin,57188873086,A5041172302,100
344,steven w jin,dal yong jin,57192099460,A5041172302,100
345,john dewey jones,steven jm jones,55636318231,A5100728059,100
346,paul w jones,steven jm jones,57217388489,A5100728059,100
347,jacob jones,steven jm jones,57225877358,A5100728059,100
348,richard jones,steven jm jones,57217100215,A5100728059,100
349,eric w jones,steven jm jones,57200080124,A5100728059,100
350,bradley r jones,steven jm jones,56325285700,A5100728059,100
351,julie jones,steven jm jones,56319280200,A5100728059,100
352,jiongchao jin,dal yong jin,57203991019,A5041172302,100
353,samantha jean jones,steven jm jones,57193384181,A5100728059,100
354,yuhua jin,dal yong jin,58818072100,A5041172302,100
355,vivian jin,dal yong jin,57221543903,A5041172302,100
356,dalyong jin,dal yong jin,59794341400,A5041172302,100
357,cheng jin,dal yong jin,58078867300,A5041172302,100
358,laura b jones,steven jm jones,58329027300,A5100728059,100
359,erik kjeang,erik kjeang,16066971400,A5056229295,100
360,woo soo kim,jeong‐bon kim,17136903100,A5019704910,100
361,woo soo kim,tae‐ho kim,17136903100,A5100452164,100
362,woo soo kim,woo soo kim,17136903100,A5000223592,100
363,christopher j kennedy,christopher j kennedy,23469610500,A5112019938,100
364,karen l kavanagh,k l kavanagh,35433107700,A5028644503,100
365,karen e kohfeld,karen e kohfeld,55964407600,A5075889071,100
366,george kirczenow,george kirczenow,7003642081,A5005284722,100
367,dirk m kirste,dirk kirste,37061101500,A5021762945,100
368,malcolm p kennett,malcolm p kennett,57206148902,A5083205811,100
369,emanuel krebs,dennis l krebs,56338995600,A5034589539,100
370,jeong bon kim,jeong‐bon kim,8304603800,A5019704910,100
371,jeong bon kim,tae‐ho kim,8304603800,A5100452164,100
372,jeong bon kim,woo soo kim,8304603800,A5000223592,100
373,ernst kruijff,ernst kruijff,15022738100,A5035303241,100
374,tae ho kim,jeong‐bon kim,56168759700,A5019704910,100
375,tae ho kim,tae‐ho kim,56168759700,A5100452164,100
376,tae ho kim,woo soo kim,56168759700,A5000223592,100
377,taeil kim,jeong‐bon kim,57205700445,A5019704910,100
378,taeil kim,tae‐ho kim,57205700445,A5100452164,100
379,taeil kim,woo soo kim,57205700445,A5000223592,100
380,lawrence h kim,jeong‐bon kim,56742755100,A5019704910,100
381,lawrence h kim,tae‐ho kim,56742755100,A5100452164,100
382,lawrence h kim,woo soo kim,56742755100,A5000223592,100
383,angel m kennedy,christopher j kennedy,58589358400,A5112019938,100
384,ray a kostaschuk,ray kostaschuk,7003978136,A5073669293,100
385,taeyoung kim,jeong‐bon kim,57198491843,A5019704910,100
386,taeyoung kim,tae‐ho kim,57198491843,A5100452164,100
387,taeyoung kim,woo soo kim,57198491843,A5000223592,100
388,dongwoo kim,jeong‐bon kim,57205207510,A5019704910,100
389,dongwoo kim,tae‐ho kim,57205207510,A5100452164,100
390,dongwoo kim,woo soo kim,57205207510,A5000223592,100
391,boah kim,jeong‐bon kim,57787556200,A5019704910,100
392,boah kim,tae‐ho kim,57787556200,A5100452164,100
393,boah kim,woo soo kim,57787556200,A5000223592,100
394,suyoung kim,jeong‐bon kim,57211871654,A5019704910,100
395,suyoung kim,tae‐ho kim,57211871654,A5100452164,100
396,suyoung kim,woo soo kim,57211871654,A5000223592,100
397,barun kim,jeong‐bon kim,57203171282,A5019704910,100
398,barun kim,tae‐ho kim,57203171282,A5100452164,100
399,barun kim,woo soo kim,57203171282,A5000223592,100
400,kijin kim,jeong‐bon kim,57223212678,A5019704910,100
401,kijin kim,tae‐ho kim,57223212678,A5100452164,100
402,kijin kim,woo soo kim,57223212678,A5000223592,100
403,barry c kelly,barry c kelly,7202842613,A5077116272,100
404,dennis l krebs,dennis l krebs,7102141328,A5034589539,100
405,hae-yoon kim,jeong‐bon kim,56491905000,A5019704910,100
406,hae-yoon kim,tae‐ho kim,56491905000,A5100452164,100
407,hae-yoon kim,woo soo kim,56491905000,A5000223592,100
408,jeremiah c kennedy,christopher j kennedy,56900363300,A5112019938,100
409,hoyoung kim,jeong‐bon kim,58860015500,A5019704910,100
410,hoyoung kim,tae‐ho kim,58860015500,A5100452164,100
411,hoyoung kim,woo soo kim,58860015500,A5000223592,100
412,dongho kim,jeong‐bon kim,57214770459,A5019704910,100
413,dongho kim,tae‐ho kim,57214770459,A5100452164,100
414,dongho kim,woo soo kim,57214770459,A5000223592,100
415,woochul kim,jeong‐bon kim,58658203400,A5019704910,100
416,woochul kim,tae‐ho kim,58658203400,A5100452164,100
417,woochul kim,woo soo kim,58658203400,A5000223592,100
418,chaeri kim,jeong‐bon kim,59103083900,A5019704910,100
419,chaeri kim,tae‐ho kim,59103083900,A5100452164,100
420,chaeri kim,woo soo kim,59103083900,A5000223592,100
421,gabor kunstatter,g kunstatter,57206924708,A5031077701,100
422,suhong kim,jeong‐bon kim,57221141737,A5019704910,100
423,suhong kim,tae‐ho kim,57221141737,A5100452164,100
424,suhong kim,woo soo kim,57221141737,A5000223592,100
425,vicki kelly,barry c kelly,57183847800,A5077116272,100
426,p kowalski,p kowalski,56102570600,A5029296798,100
427,kyeong-min kim,jeong‐bon kim,57200325379,A5019704910,100
428,kyeong-min kim,tae‐ho kim,57200325379,A5100452164,100
429,kyeong-min kim,woo soo kim,57200325379,A5000223592,100
430,dara kelly,barry c kelly,57192095652,A5077116272,100
431,jonghyeok kim,jeong‐bon kim,58727504600,A5019704910,100
432,jonghyeok kim,tae‐ho kim,58727504600,A5100452164,100
